REG,LIBREG,DEP,LIBDEP,EPCI,LIBEPCI,DROIT,DEPCOM,CODEPOSTAL,LIBCOM,NUMVOIE,INDREP,TYPVOIE,NOMVOIE,NUMAPPT,NUMBOITE,ESC,COULOIR,ETAGE,COMPLIDENT,ENTREE,BAT,IMMEU,COMPLGEO,LIEUDIT,QPV,TYPECONST,NBPIECE,SURFHAB,CONSTRUCT,LOCAT,PATRIMOINE,ORIGINE,FINAN,FINANAUTRE,CONV,NUMCONV,DATCONV,NEWLOGT,CUS,DPEDATE,DPEENERGIE,DPESERRE,SRU_EXPIR,SRU_ALINEA,CODSEGPATRIM,LIBSEGPATRIM,X,Y
93,Provence-Alpes-Cote-d'Azur,6,ALPES-MARITIMES,200039915,CA Cannes Pays de Lérins,1,6029,6150,CANNES,26,,RUE,DES BOSQUETS,,,,,0,BAT 02 ESC 05,,0507B02,507,507,,2,C,3,47,1956,1956,1956,1,52,,1,06/1983/12/79444/2/006011/36,01/04/1985,,,03/2009,D,E,2017,1,x,x,1021570.7,6280593.09999999
93,Provence-Alpes-Cote-d'Azur,6,ALPES-MARITIMES,200039915,CA Cannes Pays de Lérins,1,6029,6150,CANNES,26,,RUE,DES BOSQUETS,,,,,0,BAT 02 ESC 05,,0507B02,507,507,,2,C,2,37,1956,1956,1956,1,52,,1,06/1983/12/79444/2/006011/36,01/04/1985,,,03/2009,D,E,2017,1,x,x,1021570.7,6280593.09999999
93,Provence-Alpes-Cote-d'Azur,6,ALPES-MARITIMES,200039915,CA Cannes Pays de Lérins,1,6029,6150,CANNES,26,,RUE,DES BOSQUETS,,,,,1,BAT 02 ESC 05,,0507B02,507,507,,2,C,3,47,1956,1956,1956,1,52,,1,06/1983/12/79444/2/006011/36,01/04/1985,,,03/2009,D,E,2017,1,x,x,1021570.7,6280593.09999999
93,Provence-Alpes-Cote-d'Azur,6,ALPES-MARITIMES,200039915,CA Cannes Pays de Lérins,1,6029,6150,CANNES,26,,RUE,DES BOSQUETS,,,,,2,BAT 02 ESC 05,,0507B02,507,507,,2,C,3,47,1956,1956,1956,1,52,,1,06/1983/12/79444/2/006011/36,01/04/1985,,,03/2009,D,E,2017,1,x,x,1021570.7,6280593.09999999
93,Provence-Alpes-Cote-d'Azur,6,ALPES-MARITIMES,200039915,CA Cannes Pays de Lérins,1,6029,6150,CANNES,26,,RUE,DES BOSQUETS,,,,,3,BAT 02 ESC 05,,0507B02,507,507,,2,C,3,47,1956,1956,1956,1,52,,1,06/1983/12/79444/2/006011/36,01/04/1985,,,03/2009,D,E,2017,1,x,x,1021570.7,6280593.09999999
93,Provence-Alpes-Cote-d'Azur,6,ALPES-MARITIMES,200039915,CA Cannes Pays de Lérins,1,6029,6150,CANNES,26,,RUE,DES BOSQUETS,,,,,3,BAT 02 ESC 05,,0507B02,507,507,,2,C,2,38,1956,1956,1956,1,52,,1,06/1983/12/79444/2/006011/36,01/04/1985,,,03/2009,D,E,2017,1,x,x,1021570.7,6280593.09999999
93,Provence-Alpes-Cote-d'Azur,6,ALPES-MARITIMES,200039915,CA Cannes Pays de Lérins,1,6029,6150,CANNES,26,,RUE,DES BOSQUETS,,,,,4,BAT 02 ESC 05,,0507B02,507,507,,2,C,3,47,1956,1956,1956,1,52,,1,06/1983/12/79444/2/006011/36,01/04/1985,,,03/2009,D,E,2017,1,x,x,1021570.7,6280593.09999999
93,Provence-Alpes-Cote-d'Azur,6,ALPES-MARITIMES,200039915,CA Cannes Pays de Lérins,1,6029,6150,CANNES,26,,RUE,DES BOSQUETS,,,,,4,BAT 02 ESC 05,,0507B02,507,507,,2,C,2,38,1956,1956,1956,1,52,,1,06/1983/12/79444/2/006011/36,01/04/1985,,,03/2009,D,E,2017,1,x,x,1021570.7,6280593.09999999
93,Provence-Alpes-Cote-d'Azur,6,ALPES-MARITIMES,200039915,CA Cannes Pays de Lérins,1,6029,6150,CANNES,28,,RUE,DES BOSQUETS,,,,,0,BAT 02  ESC 06,,0507B02,507,507,,2,C,4,59,1956,1956,1956,1,52,,1,06/1983/12/79444/2/006011/36,01/04/1985,,,03/2009,D,E,2017,1,x,x,1021559.9,6280621.69999999
93,Provence-Alpes-Cote-d'Azur,6,ALPES-MARITIMES,200039915,CA Cannes Pays de Lérins,1,6029,6150,CANNES,28,,RUE,DES BOSQUETS,,,,,0,BAT 02  ESC 06,,0507B02,507,507,,2,C,3,45,1956,1956,1956,1,52,,1,06/1983/12/79444/2/006011/36,01/04/1985,,,03/2009,D,E,2017,1,x,x,1021559.9,6280621.69999999
