,REG,LIBREG,DEP,LIBDEP,EPCI,LIBEPCI,DROIT,DEPCOM,CODEPOSTAL,LIBCOM,NUMVOIE,INDREP,TYPVOIE,NOMVOIE,NUMAPPT,NUMBOITE,ESC,COULOIR,ETAGE,COMPLIDENT,ENTREE,BAT,IMMEU,COMPLGEO,LIEUDIT,QPV,TYPECONST,NBPIECE,SURFHAB,CONSTRUCT,LOCAT,PATRIMOINE,ORIGINE,FINAN,FINANAUTRE,CONV,NUMCONV,DATCONV,NEWLOGT,CUS,DPEDATE,DPEENERGIE,DPESERRE,SRU_EXPIR,SRU_ALINEA,CODSEGPATRIM,LIBSEGPATRIM,X,Y
0,93,Provence-Alpes-Cote-d'Azur,6,ALPES-MARITIMES,200039915,CA Cannes Pays de L�rins,1,6029,6400,CANNES,,,,12 IMPASSE DENANS,1,,,,0.0,,,,7190-01-01,CANNES DENANS,,2,C,1,28,2006,2006,2006,2,13,,1,06/2008/03/99864/2/013038/07,01/07/2006,,,01/1900,,,,1.0,06S1,Alpes Maritimes S1,1024984.61,6281287.82
1,93,Provence-Alpes-Cote-d'Azur,6,ALPES-MARITIMES,200039915,CA Cannes Pays de L�rins,1,6029,6400,CANNES,,,,12 IMPASSE DENANS,2,,,,0.0,,,,7190-01-01,CANNES DENANS,,2,C,1,31,2006,2006,2006,2,13,,1,06/2008/03/99864/2/013038/07,01/07/2006,,,01/1900,,,,1.0,06S1,Alpes Maritimes S1,1024984.61,6281287.82
2,93,Provence-Alpes-Cote-d'Azur,6,ALPES-MARITIMES,200039915,CA Cannes Pays de L�rins,1,6029,6400,CANNES,,,,12 IMPASSE DENANS,111,,,,1.0,,,,7190-01-01,CANNES DENANS,,2,C,1,29,2006,2006,2006,2,11,,1,06/2008/03/99864/2/013038/07,01/07/2006,,,01/1900,,,,1.0,06S1,Alpes Maritimes S1,1024984.61,6281287.82
3,93,Provence-Alpes-Cote-d'Azur,6,ALPES-MARITIMES,200039915,CA Cannes Pays de L�rins,1,6029,6400,CANNES,,,,12 IMPASSE DENANS,112,,,,1.0,,,,7190-01-01,CANNES DENANS,,2,C,2,32,2006,2006,2006,2,13,,1,06/2008/03/99864/2/013038/07,01/07/2006,,,01/1900,,,,1.0,06S1,Alpes Maritimes S1,1024984.61,6281287.82
4,93,Provence-Alpes-Cote-d'Azur,6,ALPES-MARITIMES,200039915,CA Cannes Pays de L�rins,1,6029,6400,CANNES,,,,12 IMPASSE DENANS,121,,,,2.0,,,,7190-01-01,CANNES DENANS,,2,C,1,29,2006,2006,2006,2,13,,1,06/2008/03/99864/2/013038/07,01/07/2006,,,01/1900,,,,1.0,06S1,Alpes Maritimes S1,1024984.61,6281287.82
5,93,Provence-Alpes-Cote-d'Azur,6,ALPES-MARITIMES,200039915,CA Cannes Pays de L�rins,1,6029,6400,CANNES,,,,12 IMPASSE DENANS,122,,,,2.0,,,,7190-01-01,CANNES DENANS,,2,C,2,40,2006,2006,2006,2,13,,1,06/2008/03/99864/2/013038/07,01/07/2006,,,01/1900,,,,1.0,06S1,Alpes Maritimes S1,1024984.61,6281287.82
6,93,Provence-Alpes-Cote-d'Azur,6,ALPES-MARITIMES,200039915,CA Cannes Pays de L�rins,1,6029,6150,CANNES,,,,137  AV  MAURICE CHEVALLIER,101,,,,0.0,,,,7062-01-01,CANNES MARQUISE,,2,C,5,102,1995,1995,1995,1,17,,1,06.1995.781307.1.013038.68,01/11/1995,,,01/1900,,,,1.0,06S1,Alpes Maritimes S1,1019998.57,6282186.02
7,93,Provence-Alpes-Cote-d'Azur,6,ALPES-MARITIMES,200039915,CA Cannes Pays de L�rins,1,6029,6150,CANNES,,,,137  AV  MAURICE CHEVALLIER,201,,,,0.0,,,,7062-01-02,CANNES MARQUISE,,2,C,4,83,1995,1995,1995,1,17,,1,06.1995.781307.1.013038.68,01/11/1995,,,01/1900,,,,1.0,06S1,Alpes Maritimes S1,1019998.57,6282186.02
8,93,Provence-Alpes-Cote-d'Azur,6,ALPES-MARITIMES,200039915,CA Cannes Pays de L�rins,1,6029,6150,CANNES,,,,137  AV  MAURICE CHEVALLIER,202,,,,0.0,,,,7062-01-02,CANNES MARQUISE,,2,C,4,81,1995,1995,1995,1,17,,1,06.1995.781307.1.013038.68,01/11/1995,,,01/1900,,,,1.0,06S1,Alpes Maritimes S1,1019998.57,6282186.02
9,93,Provence-Alpes-Cote-d'Azur,6,ALPES-MARITIMES,200039915,CA Cannes Pays de L�rins,1,6029,6150,CANNES,,,,137  AV  MAURICE CHEVALLIER,203,,,,0.0,,,,7062-01-02,CANNES MARQUISE,,2,C,4,81,1995,1995,1995,1,17,,1,06.1995.781307.1.013038.68,01/11/1995,,,01/1900,,,,1.0,06S1,Alpes Maritimes S1,1019998.57,6282186.02
10,93,Provence-Alpes-Cote-d'Azur,6,ALPES-MARITIMES,200039915,CA Cannes Pays de L�rins,1,6029,6150,CANNES,,,,137  AV  MAURICE CHEVALLIER,204,,,,0.0,,,,7062-01-02,CANNES MARQUISE,,2,C,4,85,1995,1995,1995,1,17,,1,06.1995.781307.1.013038.68,01/11/1995,,,01/1900,,,,1.0,06S1,Alpes Maritimes S1,1019998.57,6282186.02
